index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure
37937,AL041992,ANDREW,8/16/1992 18:00,,TD,10.8,-35.5,25,1010
37938,AL041992,ANDREW,8/17/1992 0:00,,TD,11.2,-37.4,30,1009
37939,AL041992,ANDREW,8/17/1992 6:00,,TD,11.7,-39.6,30,1008
37940,AL041992,ANDREW,8/17/1992 12:00,,TS,12.3,-42,35,1006
37941,AL041992,ANDREW,8/17/1992 18:00,,TS,13.1,-44.2,35,1003
37942,AL041992,ANDREW,8/18/1992 0:00,,TS,13.6,-46.2,40,1002
37943,AL041992,ANDREW,8/18/1992 6:00,,TS,14.1,-48,45,1001
37944,AL041992,ANDREW,8/18/1992 12:00,,TS,14.6,-49.9,45,1000
37945,AL041992,ANDREW,8/18/1992 18:00,,TS,15.4,-51.8,45,1000
37946,AL041992,ANDREW,8/19/1992 0:00,,TS,16.3,-53.5,45,1001
37947,AL041992,ANDREW,8/19/1992 6:00,,TS,17.2,-55.3,45,1002
37948,AL041992,ANDREW,8/19/1992 12:00,,TS,18,-56.9,45,1005
37949,AL041992,ANDREW,8/19/1992 18:00,,TS,18.8,-58.3,45,1007
37950,AL041992,ANDREW,8/20/1992 0:00,,TS,19.8,-59.3,40,1011
37951,AL041992,ANDREW,8/20/1992 6:00,,TS,20.7,-60,40,1013
37952,AL041992,ANDREW,8/20/1992 12:00,,TS,21.7,-60.7,40,1015
37953,AL041992,ANDREW,8/20/1992 18:00,,TS,22.5,-61.5,40,1014
37954,AL041992,ANDREW,8/21/1992 0:00,,TS,23.2,-62.4,45,1014
37955,AL041992,ANDREW,8/21/1992 6:00,,TS,23.9,-63.3,45,1010
37956,AL041992,ANDREW,8/21/1992 12:00,,TS,24.4,-64.2,50,1007
37957,AL041992,ANDREW,8/21/1992 18:00,,TS,24.8,-64.9,50,1004
37958,AL041992,ANDREW,8/22/1992 0:00,,TS,25.3,-65.9,55,1000
37959,AL041992,ANDREW,8/22/1992 6:00,,HU,25.6,-67,65,994
37960,AL041992,ANDREW,8/22/1992 12:00,,HU,25.8,-68.3,80,981
37961,AL041992,ANDREW,8/22/1992 18:00,,HU,25.7,-69.7,95,969
37962,AL041992,ANDREW,8/23/1992 0:00,,HU,25.6,-71.1,110,961
37963,AL041992,ANDREW,8/23/1992 6:00,,HU,25.5,-72.5,130,947
37964,AL041992,ANDREW,8/23/1992 12:00,,HU,25.4,-74.2,145,933
37965,AL041992,ANDREW,8/23/1992 18:00,,HU,25.4,-75.8,150,922
37966,AL041992,ANDREW,8/23/1992 21:00,L,HU,25.4,-76.6,140,923
37967,AL041992,ANDREW,8/24/1992 0:00,,HU,25.4,-77.5,125,930
37968,AL041992,ANDREW,8/24/1992 1:00,L,HU,25.4,-77.8,130,931
37969,AL041992,ANDREW,8/24/1992 6:00,,HU,25.4,-79.3,130,937
37970,AL041992,ANDREW,8/24/1992 8:40,L,HU,25.5,-80.2,145,926
37971,AL041992,ANDREW,8/24/1992 9:05,L,HU,25.5,-80.3,145,922
37972,AL041992,ANDREW,8/24/1992 12:00,,HU,25.6,-81.2,115,951
37973,AL041992,ANDREW,8/24/1992 18:00,,HU,25.8,-83.1,115,947
37974,AL041992,ANDREW,8/25/1992 0:00,,HU,26.2,-85,115,943
37975,AL041992,ANDREW,8/25/1992 6:00,,HU,26.6,-86.7,115,948
37976,AL041992,ANDREW,8/25/1992 12:00,,HU,27.2,-88.2,120,946
37977,AL041992,ANDREW,8/25/1992 18:00,,HU,27.8,-89.6,125,941
37978,AL041992,ANDREW,8/26/1992 0:00,,HU,28.5,-90.5,125,937
37979,AL041992,ANDREW,8/26/1992 6:00,,HU,29.2,-91.3,120,955
37980,AL041992,ANDREW,8/26/1992 8:30,L,HU,29.6,-91.5,100,956
37981,AL041992,ANDREW,8/26/1992 12:00,,HU,30.1,-91.7,80,973
37982,AL041992,ANDREW,8/26/1992 18:00,,TS,30.9,-91.6,50,991
37983,AL041992,ANDREW,8/27/1992 0:00,,TS,31.5,-91.1,35,995
37984,AL041992,ANDREW,8/27/1992 6:00,,TD,32.1,-90.5,30,997
37985,AL041992,ANDREW,8/27/1992 12:00,,TD,32.8,-89.6,30,998
37986,AL041992,ANDREW,8/27/1992 18:00,,TD,33.6,-88.4,25,999
37987,AL041992,ANDREW,8/28/1992 0:00,,TD,34.4,-86.7,20,1000
37988,AL041992,ANDREW,8/28/1992 6:00,,TD,35.4,-84,20,1000
