index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw
43104,AL012004,ALEX,7/31/2004 18:00,,TD,30.3,-78.3,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43105,AL012004,ALEX,8/1/2004 0:00,,TD,31,-78.8,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
43106,AL012004,ALEX,8/1/2004 6:00,,TD,31.5,-79,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
43107,AL012004,ALEX,8/1/2004 12:00,,TD,31.6,-79.1,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
43108,AL012004,ALEX,8/1/2004 18:00,,TS,31.6,-79.2,35,1009,0,50,50,0,0,0,0,0,0,0,0,0
43109,AL012004,ALEX,8/2/2004 0:00,,TS,31.5,-79.3,35,1007,0,50,50,0,0,0,0,0,0,0,0,0
43110,AL012004,ALEX,8/2/2004 6:00,,TS,31.4,-79.4,40,1005,60,90,90,0,0,0,0,0,0,0,0,0
43111,AL012004,ALEX,8/2/2004 12:00,,TS,31.3,-79,50,992,75,90,60,20,30,30,0,0,0,0,0,0
43112,AL012004,ALEX,8/2/2004 18:00,,TS,31.8,-78.7,50,993,75,90,50,30,30,30,20,20,0,0,0,0
43113,AL012004,ALEX,8/3/2004 0:00,,TS,32.4,-78.2,60,987,75,90,50,30,30,30,20,20,0,0,0,0
43114,AL012004,ALEX,8/3/2004 6:00,,HU,33,-77.4,70,983,75,90,50,40,30,30,30,20,20,20,20,0
43115,AL012004,ALEX,8/3/2004 12:00,,HU,34.2,-76.4,85,974,75,90,50,40,30,50,30,20,20,20,20,0
43116,AL012004,ALEX,8/3/2004 18:00,,HU,35.3,-75.2,85,972,90,90,75,50,60,50,30,30,30,30,20,15
43117,AL012004,ALEX,8/4/2004 0:00,,HU,36,-73.7,80,974,80,100,75,50,40,50,40,20,15,40,30,15
43118,AL012004,ALEX,8/4/2004 6:00,,HU,36.8,-72.1,80,973,60,120,75,75,40,75,50,50,20,50,30,15
43119,AL012004,ALEX,8/4/2004 12:00,,HU,37.3,-70.2,85,973,60,120,75,75,40,75,50,50,20,50,30,15
43120,AL012004,ALEX,8/4/2004 18:00,,HU,37.8,-68.3,95,965,90,150,125,75,50,75,50,50,25,50,25,15
43121,AL012004,ALEX,8/5/2004 0:00,,HU,38.5,-66,105,957,80,150,125,75,50,80,60,50,30,50,30,20
43122,AL012004,ALEX,8/5/2004 6:00,,HU,39.5,-63.1,105,957,80,225,200,75,50,80,60,50,30,50,30,20
43123,AL012004,ALEX,8/5/2004 12:00,,HU,40.8,-59.6,100,962,80,300,300,75,50,80,60,50,30,50,30,20
43124,AL012004,ALEX,8/5/2004 18:00,,HU,42.7,-55,90,970,75,300,300,75,50,75,50,30,25,50,25,0
43125,AL012004,ALEX,8/6/2004 0:00,,HU,44.5,-49.3,75,978,75,300,300,75,50,75,50,30,25,50,25,0
43126,AL012004,ALEX,8/6/2004 6:00,,HU,46.1,-44.2,65,984,75,300,300,75,50,75,50,30,25,50,25,0
43127,AL012004,ALEX,8/6/2004 12:00,,TS,47,-37.5,50,987,75,300,300,75,50,75,50,30,0,0,0,0
43128,AL012004,ALEX,8/6/2004 18:00,,EX,47.4,-32.7,30,992,0,0,0,0,0,0,0,0,0,0,0,0
43129,AL022004,BONNIE,8/3/2004 12:00,,TD,12.9,-53.6,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43130,AL022004,BONNIE,8/3/2004 18:00,,TD,13.2,-55.4,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43131,AL022004,BONNIE,8/4/2004 0:00,,TD,13.5,-57.4,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
43132,AL022004,BONNIE,8/4/2004 6:00,,TD,13.6,-59.5,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
43133,AL022004,BONNIE,8/4/2004 12:00,,TD,13.6,-61.6,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
43134,AL022004,BONNIE,8/4/2004 18:00,,WV,13.7,-63.7,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
43135,AL022004,BONNIE,8/5/2004 0:00,,WV,14,-65.7,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43136,AL022004,BONNIE,8/5/2004 6:00,,WV,14.9,-67.7,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43137,AL022004,BONNIE,8/5/2004 12:00,,WV,16,-69.7,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43138,AL022004,BONNIE,8/5/2004 18:00,,WV,16.5,-71.5,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43139,AL022004,BONNIE,8/6/2004 0:00,,WV,17,-73,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43140,AL022004,BONNIE,8/6/2004 6:00,,WV,17.1,-74.6,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43141,AL022004,BONNIE,8/6/2004 12:00,,WV,17.2,-76.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43142,AL022004,BONNIE,8/6/2004 18:00,,WV,17,-77.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43143,AL022004,BONNIE,8/7/2004 0:00,,WV,17.1,-78.2,25,1011,0,0,0,0,0,0,0,0,0,0,0,0
43144,AL022004,BONNIE,8/7/2004 6:00,,WV,17.4,-79.2,20,1013,0,0,0,0,0,0,0,0,0,0,0,0
43145,AL022004,BONNIE,8/7/2004 12:00,,WV,17.8,-80.2,20,1013,0,0,0,0,0,0,0,0,0,0,0,0
43146,AL022004,BONNIE,8/7/2004 18:00,,WV,18.4,-81.1,20,1013,0,0,0,0,0,0,0,0,0,0,0,0
43147,AL022004,BONNIE,8/8/2004 0:00,,WV,19,-81.9,20,1012,0,0,0,0,0,0,0,0,0,0,0,0
43148,AL022004,BONNIE,8/8/2004 6:00,,WV,19.7,-82.7,25,1010,0,0,0,0,0,0,0,0,0,0,0,0
43149,AL022004,BONNIE,8/8/2004 12:00,,TD,20.3,-83.5,25,1009,0,0,0,0,0,0,0,0,0,0,0,0
43150,AL022004,BONNIE,8/8/2004 18:00,,TD,20.9,-84.3,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43151,AL022004,BONNIE,8/9/2004 0:00,,TD,21.5,-85.5,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43152,AL022004,BONNIE,8/9/2004 6:00,,TD,22,-86.6,30,1008,0,0,0,0,0,0,0,0,0,0,0,0
43153,AL022004,BONNIE,8/9/2004 12:00,,TS,22.5,-87.6,35,1008,25,25,25,25,0,0,0,0,0,0,0,0
43154,AL022004,BONNIE,8/9/2004 18:00,,TS,22.9,-88.3,40,1007,25,25,25,25,0,0,0,0,0,0,0,0
43155,AL022004,BONNIE,8/10/2004 0:00,,TS,23.1,-89,45,1006,25,25,25,25,0,0,0,0,0,0,0,0
43156,AL022004,BONNIE,8/10/2004 6:00,,TS,23.4,-89.8,45,1005,25,25,25,25,0,0,0,0,0,0,0,0
43157,AL022004,BONNIE,8/10/2004 12:00,,TS,24,-90.6,50,1002,25,25,25,25,15,15,15,15,0,0,0,0
43158,AL022004,BONNIE,8/10/2004 18:00,,TS,24.4,-90.6,45,1003,25,40,40,25,0,0,0,0,0,0,0,0
43159,AL022004,BONNIE,8/11/2004 0:00,,TS,24.7,-90.6,40,1003,25,25,25,25,0,0,0,0,0,0,0,0
43160,AL022004,BONNIE,8/11/2004 6:00,,TS,25.2,-90.6,40,1003,35,45,25,25,0,0,0,0,0,0,0,0
43161,AL022004,BONNIE,8/11/2004 12:00,,TS,25.7,-90.4,45,1001,45,60,25,25,0,0,0,0,0,0,0,0
43162,AL022004,BONNIE,8/11/2004 18:00,,TS,26.4,-89.6,55,1001,45,60,25,25,15,15,15,15,0,0,0,0
43163,AL022004,BONNIE,8/12/2004 0:00,,TS,27,-88.8,50,1007,45,60,25,25,15,15,15,15,0,0,0,0
43164,AL022004,BONNIE,8/12/2004 6:00,,TS,27.7,-88.1,45,1008,45,60,25,25,0,0,0,0,0,0,0,0
43165,AL022004,BONNIE,8/12/2004 12:00,,TS,29,-86.1,45,1002,45,60,25,25,0,0,0,0,0,0,0,0
43166,AL022004,BONNIE,8/12/2004 14:00,L,TS,29.6,-85.1,40,1002,,,,,,,,,,,,
43167,AL022004,BONNIE,8/12/2004 18:00,,TD,30.2,-84,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
43168,AL022004,BONNIE,8/13/2004 0:00,,TD,31.9,-81.3,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43169,AL022004,BONNIE,8/13/2004 6:00,,TD,33.5,-79,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43170,AL022004,BONNIE,8/13/2004 12:00,,TD,35.5,-76.5,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43171,AL022004,BONNIE,8/13/2004 18:00,,TD,37.1,-74.9,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
43172,AL022004,BONNIE,8/14/2004 0:00,,LO,39,-73.5,20,1012,0,0,0,0,0,0,0,0,0,0,0,0
43173,AL032004,CHARLEY,8/9/2004 12:00,,TD,11.4,-59.2,30,1010,0,0,0,0,0,0,0,0,0,0,0,0
43174,AL032004,CHARLEY,8/9/2004 18:00,,TD,11.7,-61.1,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
43175,AL032004,CHARLEY,8/10/2004 0:00,,TD,12.2,-63.2,30,1009,0,0,0,0,0,0,0,0,0,0,0,0
43176,AL032004,CHARLEY,8/10/2004 6:00,,TS,12.9,-65.3,35,1007,75,0,0,50,0,0,0,0,0,0,0,0
43177,AL032004,CHARLEY,8/10/2004 12:00,,TS,13.8,-67.6,40,1004,90,50,0,75,0,0,0,0,0,0,0,0
43178,AL032004,CHARLEY,8/10/2004 18:00,,TS,14.9,-69.8,45,1000,90,50,0,75,0,0,0,0,0,0,0,0
43179,AL032004,CHARLEY,8/11/2004 0:00,,TS,15.6,-71.8,55,999,90,50,0,75,20,0,0,0,0,0,0,0
43180,AL032004,CHARLEY,8/11/2004 6:00,,TS,16,-73.7,55,999,90,50,0,75,20,0,0,0,0,0,0,0
43181,AL032004,CHARLEY,8/11/2004 12:00,,TS,16.3,-75.4,60,995,90,75,0,75,40,0,0,40,0,0,0,0
43182,AL032004,CHARLEY,8/11/2004 18:00,,HU,16.7,-76.8,65,993,90,75,0,75,40,0,0,40,25,0,0,25
43183,AL032004,CHARLEY,8/12/2004 0:00,,HU,17.4,-78.1,65,992,90,75,30,75,40,0,0,40,25,0,0,25
43184,AL032004,CHARLEY,8/12/2004 6:00,,HU,18.2,-79.3,75,988,90,75,30,75,50,20,0,40,20,0,0,20
43185,AL032004,CHARLEY,8/12/2004 12:00,,HU,19.2,-80.7,80,984,90,90,30,75,50,30,10,40,20,15,10,20
43186,AL032004,CHARLEY,8/12/2004 18:00,,HU,20.5,-81.6,90,980,90,90,40,90,60,50,20,40,25,20,10,20
43187,AL032004,CHARLEY,8/13/2004 0:00,,HU,21.7,-82.2,90,976,90,90,45,90,60,50,20,40,25,20,10,20
43188,AL032004,CHARLEY,8/13/2004 4:30,L,HU,22.7,-82.6,105,966,,,,,,,,,,,,
43189,AL032004,CHARLEY,8/13/2004 6:00,,HU,23,-82.6,105,966,90,90,45,90,60,50,20,40,25,20,10,20
43190,AL032004,CHARLEY,8/13/2004 12:00,,HU,24.4,-82.9,95,969,90,90,75,75,50,50,40,40,25,25,15,15
43191,AL032004,CHARLEY,8/13/2004 18:00,,HU,26.1,-82.4,125,947,40,75,75,50,30,40,40,25,20,20,10,10
