index,id,name,date,record_identifier,status_of_system,latitude,longitude,lat/long,maximum_sustained_wind_knots,maximum_pressure,,1.85,Velocity,damage ratio,,county,property value,"$19,460,674,157.30 ",,,,,
37970,AL041992,ANDREW,8/24/1992 8:40,L,HU,25.5,-80.2,"25.5,-80.2",145,926,,268.25,0.297752809,0.025718871,0.297752809,"The Keyhole, Miami-Dade County, Florida, United States","$30,000,000,000 ","$8,932,584,269.66 ",lat/long,address,,County,Median Home Price Q1 2021
37971,AL041992,ANDREW,8/24/1992 9:05,L,HU,25.5,-80.3,"25.5,-80.3",145,922,,268.25,0.297752809,0.025718871,0.297752809,"Miami-Dade County, Florida, United States","$18,000,000,000 ","$5,359,550,561.80 ","25.4,-76.6",Bermuda Triangle,1,Alachua County,"$237,288 "
37972,AL041992,ANDREW,8/24/1992 12:00,,HU,25.6,-81.2,"25.6,-81.2",115,951,,212.75,0.129213483,0.00215272,0.129213483,Monroe County,"$40,000,000,000 ","$5,168,539,325.84 ","25.4,-77.8","Berry Islands, The Bahamas",2,Baker County,"$151,241 "
37973,AL041992,ANDREW,8/24/1992 18:00,,HU,25.8,-83.1,"25.8,-83.1",115,947,,212.75,0.129213483,0.00215272,0.129213483,,,,"25.5,-80.2","The Keyhole, Miami-Dade County, Florida, United States",3,Bay County,"$220,032 "
37974,AL041992,ANDREW,8/25/1992 0:00,,HU,26.2,-85,"26.2,-85",115,943,,212.75,0.129213483,0.00215272,0.129213483,,,,"25.5,-80.3","Miami-Dade County, Florida, United States",4,Bradford County,"$120,402 "
37975,AL041992,ANDREW,8/25/1992 6:00,,HU,26.6,-86.7,"26.6,-86.7",115,948,,212.75,0.129213483,0.00215272,0.129213483,#N/A,,,"29.6,-91.5","St. Mary Parish, Louisiana, United States",5,Bevard County,"$252,790 "
37976,AL041992,ANDREW,8/25/1992 12:00,,HU,27.2,-88.2,"27.2,-88.2",120,946,,222,0.157303371,0.003877278,0.157303371,#N/A,, ,,,6,Broward County,"$327,349 "
37977,AL041992,ANDREW,8/25/1992 18:00,,HU,27.8,-89.6,"27.8,-89.6",125,941,,231.25,0.185393258,0.006331742,0.185393258,#N/A,,,,,7,Calhoun County,"$92,366 "
37978,AL041992,ANDREW,8/26/1992 0:00,,HU,28.5,-90.5,"28.5,-90.5",125,937,,231.25,0.185393258,0.006331742,0.185393258,#N/A,,,,,8,Charlotte County,"$250,482 "
37979,AL041992,ANDREW,8/26/1992 6:00,,HU,29.2,-91.3,"29.2,-91.3",120,955,,222,0.157303371,0.003877278,0.157303371,"Terrebonne Parish, Louisiana, United States",,,,,9,Citrus County,"$169,954 "
