,Sim_Losses,default_rank,EP,Year
199,150.65942552443394,200.0,0.001999980000199998,500.0
399,131.2085015942949,400.0,0.003999960000399996,250.0
498,124.86880043686566,499.0,0.004989950100498995,200.0
499,124.71381227494626,500.0,0.004999950000499995,200.0
500,124.70247753049988,501.0,0.005009949900500995,200.0
995,105.43942726616083,996.0,0.00995990040099599,100.0
996,105.39938639262556,997.0,0.00996990030099699,100.0
997,105.38677930511358,998.0,0.00997990020099799,100.0
998,105.34814101584901,999.0,0.00998990010099899,100.0
999,105.33967880583522,1000.0,0.00999990000099999,100.0
1000,105.33491213770385,1001.0,0.01000989990100099,100.0
1001,105.30762602021028,1002.0,0.01001989980100199,100.0
1002,105.30143191949173,1003.0,0.01002989970100299,100.0
1003,105.2591938899958,1004.0,0.01003989960100399,100.0
1004,105.23110380480614,1005.0,0.01004989950100499,100.0
1980,84.44613550049586,1981.0,0.01980980190198098,50.0
1981,84.4456119080626,1982.0,0.01981980180198198,50.0
1982,84.42537039121001,1983.0,0.01982980170198298,50.0
1983,84.40981460692858,1984.0,0.01983980160198398,50.0
1984,84.40635348997179,1985.0,0.01984980150198498,50.0
1985,84.39001391602552,1986.0,0.01985980140198598,50.0
1986,84.37780108311637,1987.0,0.01986980130198698,50.0
1987,84.3677158089929,1988.0,0.01987980120198798,50.0
1988,84.36360379676508,1989.0,0.01988980110198898,50.0
1989,84.3445486295112,1990.0,0.01989980100198998,50.0
1990,84.32734250292258,1991.0,0.01990980090199098,50.0
1991,84.32686896596557,1992.0,0.01991980080199198,50.0
1992,84.3258984095618,1993.0,0.01992980070199298,50.0
1993,84.26196066455122,1994.0,0.01993980060199398,50.0
1994,84.25316410975377,1995.0,0.01994980050199498,50.0
1995,84.25173446616189,1996.0,0.01995980040199598,50.0
1996,84.23950397822792,1997.0,0.01996980030199698,50.0
1997,84.23802884201456,1998.0,0.01997980020199798,50.0
1998,84.23391511762708,1999.0,0.01998980010199898,50.0
1999,84.2305737020694,2000.0,0.01999980000199998,50.0
2000,84.22508924429842,2001.0,0.02000979990200098,50.0
2001,84.20410780189245,2002.0,0.02001979980200198,50.0
2002,84.16923789047183,2003.0,0.02002979970200298,50.0
2003,84.15233225861662,2004.0,0.02003979960200398,50.0
2004,84.11803534137921,2005.0,0.02004979950200498,50.0
2005,84.1082150559599,2006.0,0.02005979940200598,50.0
