,index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw,lat/long,address
4,4,AL011851,UNNAMED,1851-06-25 21:00:00,L,HU,28.2,-96.8,80,,,,,,,,,,,,,,"28.2,-96.8","Second Chain of Islands, Calhoun County, Texas, United States"
48,48,AL041851,UNNAMED,1851-08-23 21:00:00,L,HU,30.1,-85.7,100,,,,,,,,,,,,,,"30.1,-85.7","Upper Grand Lagoon, Bay County, Florida, 32411, United States"
96,96,AL061851,UNNAMED,1851-10-19 15:00:00,L,TS,41.1,-71.7,50,,,,,,,,,,,,,,"41.1,-71.7","Block Island, New Shoreham, South County, Rhode Island, 02807, United States"
127,127,AL011852,UNNAMED,1852-08-26 06:00:00,L,HU,30.2,-88.6,100,961.0,,,,,,,,,,,,,"30.2,-88.6","Jackson County, Mississippi, United States"
163,163,AL031852,UNNAMED,1852-09-12 00:00:00,L,HU,28.0,-82.8,70,,,,,,,,,,,,,,"28.0,-82.8","Dunedin, Pinellas County, Florida, 34698, United States"
223,223,AL051852,UNNAMED,1852-10-09 21:00:00,L,HU,29.9,-84.4,90,,,,,,,,,,,,,,"29.9,-84.4","1535, Alligator Drive, Franklin County, Florida, 32346, United States"
338,338,AL011854,UNNAMED,1854-06-26 12:00:00,L,HU,26.2,-97.0,70,,,,,,,,,,,,,,"26.2,-97.0",United States
352,352,AL031854,UNNAMED,1854-09-08 20:00:00,L,HU,31.7,-81.1,100,950.0,,,,,,,,,,,,,"31.7,-81.1","Liberty County, Georgia, United States"
373,373,AL041854,UNNAMED,1854-09-18 21:00:00,L,HU,28.9,-95.3,90,,,,,,,,,,,,,,"28.9,-95.3","Cone Island, Brazoria County, Texas, United States"
421,421,AL051855,UNNAMED,1855-09-16 03:00:00,L,HU,29.2,-89.5,110,,,,,,,,,,,,,,"29.2,-89.5","Plaquemines Parish, Louisiana, United States"
434,434,AL011856,UNNAMED,1856-08-10 18:00:00,L,HU,29.2,-91.1,130,934.0,,,,,,,,,,,,,"29.2,-91.1","Terrebonne Parish, Louisiana, United States"
451,451,AL031856,UNNAMED,1856-08-19 11:00:00,L,TS,34.8,-76.4,50,,,,,,,,,,,,,,"34.8,-76.4","Carteret County, North Carolina, United States"
487,487,AL051856,UNNAMED,1856-08-31 06:00:00,L,HU,30.2,-85.9,90,,,,,,,,,,,,,,"30.2,-85.9","Bay County, Florida, United States"
555,555,AL021857,UNNAMED,1857-09-13 00:00:00,L,HU,33.9,-78.0,90,,,,,,,,,,,,,,"33.9,-78.0","Brunswick County, North Carolina, United States"
623,623,AL041857,UNNAMED,1857-09-30 10:00:00,L,TS,25.8,-97.0,50,,,,,,,,,,,,,,"25.8,-97.0",México
631,631,AL031858,UNNAMED,1858-09-14 15:00:00,L,TS,27.6,-82.7,60,,,,,,,,,,,,,,"27.6,-82.7","Hillsborough County, Florida, United States"
640,640,AL031858,UNNAMED,1858-09-16 17:00:00,L,HU,40.9,-72.2,80,,,,,,,,,,,,,,"40.9,-72.2","East Hampton, Village of East Hampton, Suffolk County, New York, 11937, United States"
641,641,AL031858,UNNAMED,1858-09-16 18:00:00,L,HU,41.4,-72.0,70,979.0,,,,,,,,,,,,,"41.4,-72.0","223, Haley Road, Quakertown, Ledyard, New London County, Connecticut, 06339, United States"
742,742,AL051859,UNNAMED,1859-09-16 00:00:00,L,HU,30.3,-88.1,70,,,,,,,,,,,,,,"30.3,-88.1","Mobile County, Alabama, United States"
781,781,AL071859,UNNAMED,1859-10-17 16:00:00,L,TS,26.4,-80.1,60,,,,,,,,,,,,,,"26.4,-80.1","798, Park of Commerce Drive, Boca Raton, Palm Beach County, Florida, 33487, United States"
804,804,AL081859,UNNAMED,1859-10-28 18:00:00,L,HU,27.7,-82.8,80,,,,,,,,,,,,,,"27.7,-82.8","St. Pete Beach, Pinellas County, Florida, 33706, United States"
825,825,AL011860,UNNAMED,1860-08-11 20:00:00,L,HU,29.2,-90.0,110,,,,,,,,,,,,,,"29.2,-90.0","Jefferson Parish, Louisiana, United States"
873,873,AL041860,UNNAMED,1860-09-15 04:00:00,L,HU,29.3,-89.6,90,,,,,,,,,,,,,,"29.3,-89.6","Plaquemines Parish, Louisiana, United States"
907,907,AL061860,UNNAMED,1860-10-02 17:00:00,L,HU,29.5,-91.4,90,,,,,,,,,,,,,,"29.5,-91.4","Wax Lake Delta, St. Mary Parish, Louisiana, United States"
1004,1004,AL051861,UNNAMED,1861-09-27 17:00:00,L,HU,34.5,-77.4,70,,,,,,,,,,,,,,"34.5,-77.4","Villa Capriani, 790, New River Inlet Road, North Topsail Beach, Onslow County, North Carolina, 28460, United States"
1025,1025,AL071861,UNNAMED,1861-10-07 12:00:00,L,TS,35.3,-75.3,50,,,,,,,,,,,,,,"35.3,-75.3",United States
1027,1027,AL081861,UNNAMED,1861-11-01 08:00:00,L,TS,26.0,-81.8,60,,,,,,,,,,,,,,"26.0,-81.8","Collier County, Florida, United States"
