Year,Region,Seq,Name,Mo,Da,Lat,Lon,Wmax,Pmin,RMW,Time,SNBR,Damage (billions) 2005 #s,Code,inflation adjusted
1903,FLSE,3,Storm3,9,11,26.1,-80.1,75,976,80,2300,397,5.2,1,7.2462
1906,FLSW,8,Storm8,10,18,25.1,-80.8,105,953,64,1100,422,0.142,1,0.197877
1909,FLSW,10,Storm10,10,11,24.7,-81,100,957,40,1800,450,0.433,1,0.6033855
1910,FLSW,5,Storm5,10,18,26.5,-82,95,955,23,600,456,0.814,1,1.134309
1911,FLNW,2,Storm2,8,11,30.3,-87.6,70,985,NA,2200,458,0.286,1,0.398541
1919,FLSW,2,Storm2,9,10,24.4,-81.7,115,929,27,400,505,0.72,1,1.00332
1921,FLSW,6,TampaBay,10,25,28,-82.8,90,952,34,1900,516,3.2,1,4.4592
1926,FLNE,1,Storm1,7,28,28.3,-80.6,75,960,26,600,538,3.6,1,5.0166
1926,FLSE,6,GrtMiami,9,18,25.6,-80.3,115,935,35,1200,543,129,1,179.7615
1928,FLSE,4,Lake,9,17,27.1,-80.1,115,935,51,600,559,31.8,1,44.3133
1929,FLSE,2,Storm2,9,28,25.1,-80.7,85,948,51,1800,563,0.256,1,0.356736
1933,FLSE,12,Storm12,9,4,26.9,-80.1,115,948,24,400,598,1.4,1,1.9509
1935,FLNW,2,LaborDay,9,4,29.7,-83.4,75,985,39,1900,620,3.1,1,4.31985
1935,FLSE,6,Storm6,11,4,25.9,-80.1,65,973,19,1500,624,5.6,1,7.8036
1936,FLNW,5,Storm5,7,31,30.4,-86.6,80,973,35,1500,629,0.126,1,0.175581
1941,FLSE,5,Storm5,10,6,25.4,-80.3,105,954,34,1030,675,0.362,1,0.504447
1944,FLSW,11,Storm11,10,19,26.9,-82.4,65,962,47,630,707,35.6,1,49.6086
1945,FLSE,9,Storm9,9,15,25.3,-80.3,120,940,23,2200,716,10.1,1,14.07435
1946,FLSW,5,Storm5,10,8,27.8,-82.7,65,989,48,300,723,0.991,1,1.3809585
1947,FLSE,4,Storm4,9,17,26.4,-80.1,135,947,48,1500,728,11.6,1,16.1646
1947,FLSW,8,Storm8,10,12,25.2,-81.2,75,980,24,200,732,0.54,1,0.75249
1948,FLSW,7,Storm7,9,22,25.6,-81.2,100,963,13,0,740,3.6,1,5.0166
1948,FLSE,8,Storm8,10,5,25.2,-80.4,110,977,29,2200,741,0.565,1,0.7873275
1949,FLSE,2,Storm2,8,27,26.8,-80.1,130,954,42,0,744,13.5,1,18.81225
1950,FLNW,5,Easy,9,5,28.7,-82.6,105,958,27,1200,760,0.973,1,1.3558755
1950,FLSE,11,King,10,18,25.8,-80.2,90,988,11,600,766,3.7,1,5.15595
1953,FLNW,8,Florence,9,26,30.3,-86.2,80,982,48,1700,793,0.0143,1,0.01992705
1956,FLNW,7,Flossy,9,24,30.3,-86.5,80,974,34,2300,829,0.711,1,0.9907785
1960,FLSW,5,Donna,9,10,25.9,-81.6,120,938,34,1600,864,28.9,1,40.27215
1964,FLSE,5,Cleo,8,27,26.1,-80.1,90,968,13,1000,896,4.7,1,6.54945
1964,FLNE,6,Dora,9,10,29.9,-81.3,95,961,63,500,897,6.6,1,9.1971
1964,FLSW,11,Isbell,10,14,25.8,-81.3,110,964,19,2100,902,0.624,1,0.869544
1965,FLSE,3,Betsy,9,8,25.1,-80.4,110,952,37,1100,906,4,1,5.574
1966,FLNW,1,Alma,6,9,29.9,-84.4,80,973,47,2000,910,0.0813,1,0.11329155
1966,FLSW,9,Inez,10,4,25,-80.5,75,984,27,1800,918,0.131,1,0.1825485
1968,FLNW,8,Gladys,10,19,28.8,-82.6,70,977,32,500,936,0.495,1,0.6897825
1972,FLNW,2,Agnes,6,19,29.9,-85.4,65,983,37,2100,979,0.411,1,0.5727285
1975,FLNW,5,Eloise,9,23,30.4,-86.2,110,955,26,1230,1008,2.8,1,3.9018
1979,FLSE,4,David,9,3,26.7,-80,85,972,50,1500,1044,2.2,1,3.0657
1985,FLNW,5,Elena,9,2,30.4,-89.1,100,959,27,1300,1100,3.8,0,5.2953
1985,FLNW,11,Kate,11,21,30,-85.5,85,967,19,2230,1106,1.1,1,1.53285
1987,FLSW,7,Floyd,10,12,25.2,-80.4,65,993,76,2200,1119,0.0026,1,0.0036231
1992,FLSE,2,Andrew,8,24,25.5,-80.3,145,922,19,905,1166,52.3,1,72.88005
1995,FLNW,5,Erin,8,2,27.7,-80.4,75,985,56,600,1191,1.4,1,1.9509
1995,FLNW,15,Opal,10,4,30.3,-87.1,100,942,80,2200,1201,6.3,1,8.77905
1998,FLNW,5,Earl,9,3,30.1,-85.7,70,987,119,600,1231,0.126,1,0.175581
1998,FLSW,7,Georges,9,25,24.5,-82.2,90,975,17,1630,1233,1.1,1,1.53285
1999,FLSW,9,Irene,10,15,25.2,-81.2,65,984,48,1900,1249,1.2,1,1.6722
2004,FLSW,3,Charley,8,13,27,-82.1,125,947,8,2100,1313,16.3,1,22.71405
2004,FLSE,6,Frances,9,5,27.2,-80.2,90,960,84,600,1316,9.7,1,13.51695
2004,FLNW,9,Ivan,9,16,30.2,-87.8,95,943,37,730,1319,15.5,1,21.59925
2004,FLSE,10,Jeanne,9,26,27.3,-80.2,105,951,72,400,1320,7.5,1,10.45125
2005,FLNW,4,Dennis,7,10,30.4,-87,110,946,13,1930,1329,2.2,1,3.0657
2005,FLSW,22,Wilma,10,24,25.9,-81.6,110,950,74,1030,1347,20.6,1,28.7061
