Florida,County, Region ,Probability of 1 or More Named Storms Making Landfall in the Region,Probability of 1 or More Hurricanes Making Landfall in the Region,Probability of 1 or More Intense Hurricanes Making Landfall in the Region,Probability of 1 or More Named Storms Making Landfall in the County,Probability of 1 or More Hurricanes Making Landfall in the County,Probability of 1 or More Intense Hurricanes Making Landfall in the County,Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County,50 Year Probability of 1 or More Named Storms Making Landfall in the Region,50 Year Probability of 1 or More Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Named Storms Making Landfall in the County,50 Year Probability of 1 or More Hurricanes Making Landfall in the County,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the County,50 Year Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,50 Year Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,50 Year Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County
Florida,Bay, 4 ,47.1%,24.1%,2.9%,10.4%,4.6%,0.5%,36.5%,11.3%,2.9%,>99.9%,>99.9%,54.8%,95.4%,73.0%,12.7%,>99.9%,96.5%,55.4%
Florida,Brevard, 7 ,30.4%,14.7%,4.3%,6.9%,3.1%,0.9%,17.0%,4.8%,1.8%,>99.9%,98.9%,69.7%,86.1%,57.7%,20.8%,99.5%,74.6%,39.5%
Florida,Broward, 6 ,56.9%,45.2%,24.1%,6.7%,4.9%,2.3%,51.7%,20.1%,7.9%,>99.9%,>99.9%,>99.9%,85.5%,74.7%,46.4%,>99.9%,99.9%,90.0%
Florida,Calhoun, 4 ,47.1%,24.1%,2.9%,3.1%,1.3%,0.1%,36.5%,11.3%,2.9%,>99.9%,>99.9%,54.8%,54.8%,57.6%,30.8%,>99.9%,96.5%,55.4%
Florida,Charlotte, 5 ,36.1%,14.3%,8.2%,3.0%,1.0%,0.6%,29.1%,9.0%,29.0%,>99.9%,98.8%,90.9%,56.0%,24.6%,14.5%,>99.9%,92.7%,55.4%
Florida,Citrus, 4 ,47.1%,24.1%,2.9%,6.5%,2.8%,0.3%,36.5%,11.3%,2.9%,>99.9%,>99.9%,54.8%,84.2%,54.6%,7.9%,>99.9%,96.5%,55.4%
Florida,Clay, 7 ,30.4%,14.7%,4.3%,1.9%,0.9%,0.2%,17.0%,4.8%,1.8%,>99.9%,98.9%,69.7%,41.1%,20.7%,6.1%,99.5%,74.6%,39.5%
Florida,Collier, 5 ,36.1%,14.3%,8.2%,9.1%,3.3%,1.8%,29.1%,9.0%,2.9%,>99.9%,98.8%,90.9%,93.1%,59.8%,39.6%,>99.9%,92.7%,55.4%
Florida,Dixie, 4 ,47.1%,24.1%,2.9%,6.5%,2.8%,0.3%,36.5%,11.3%,2.9%,>99.9%,>99.9%,54.8%,84.2%,54.6%,7.9%,>99.9%,96.5%,55.4%
Florida,Duval, 7 ,30.4%,14.7%,4.3%,2.0%,0.9%,0.2%,17.0%,4.8%,1.8%,>99.9%,98.9%,69.7%,42.4%,21.5%,6.4%,99.5%,74.6%,39.5%
Florida,Escambia, 3 ,77.8%,52.2%,28.3%,6.4%,3.2%,1.4%,50.7%,17.3%,6.1%,>99.9%,>99.9%,>99.9%,83.7%,58.6%,32.7%,>99.9%,99.6%,82.3%
Florida,Flagler, 7 ,30.4%,14.7%,4.3%,1.9%,0.8%,0.2%,17.0%,4.8%,1.8%,>99.9%,98.9%,69.7%,40.4%,20.3%,6.0%,99.5%,74.6%,39.5%
Florida,Franklin, 4 ,47.1%,24.1%,2.9%,11.0%,4.9%,0.5%,36.5%,11.3%,2.9%,>99.9%,>99.9%,54.8%,96.2%,75.1%,13.5%,>99.9%,96.5%,55.4%
