Florida,County, Region ,Probability of 1 or More Named Storms Making Landfall in the Region,Probability of 1 or More Hurricanes Making Landfall in the Region,Probability of 1 or More Intense Hurricanes Making Landfall in the Region,Probability of 1 or More Named Storms Making Landfall in the County,Probability of 1 or More Hurricanes Making Landfall in the County,Probability of 1 or More Intense Hurricanes Making Landfall in the County,Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County,50 Year Probability of 1 or More Named Storms Making Landfall in the Region,50 Year Probability of 1 or More Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the Region,50 Year Probability of 1 or More Named Storms Making Landfall in the County,50 Year Probability of 1 or More Hurricanes Making Landfall in the County,50 Year Probability of 1 or More Intense Hurricanes Making Landfall in the County,50 Year Probability of Tropical Storm-Force (>= 40 mph) Wind Gusts in the County,50 Year Probability of Hurricane-Force (>= 75 mph) Wind Gusts in the County,50 Year Probability of Intense Hurricane-Force (>= 115 mph) Wind Gusts in the County
Florida,Bay,4,47.10%,24.10%,2.90%,10.40%,4.60%,0.50%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,95.40%,73.00%,12.70%,>99.9%,96.50%,55.40%
Florida,Brevard,7,30.40%,14.70%,4.30%,6.90%,3.10%,0.90%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,86.10%,57.70%,20.80%,99.50%,74.60%,39.50%
Florida,Broward,6,56.90%,45.20%,24.10%,6.70%,4.90%,2.30%,51.70%,20.10%,7.90%,>99.9%,>99.9%,>99.9%,85.50%,74.70%,46.40%,>99.9%,99.90%,90.00%
Florida,Calhoun,4,47.10%,24.10%,2.90%,3.10%,1.30%,0.10%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,54.80%,57.60%,30.80%,>99.9%,96.50%,55.40%
Florida,Charlotte,5,36.10%,14.30%,8.20%,3.00%,1.00%,0.60%,29.10%,9.00%,29.00%,>99.9%,98.80%,90.90%,56.00%,24.60%,14.50%,>99.9%,92.70%,55.40%
Florida,Citrus,4,47.10%,24.10%,2.90%,6.50%,2.80%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,84.20%,54.60%,7.90%,>99.9%,96.50%,55.40%
Florida,Clay,7,30.40%,14.70%,4.30%,1.90%,0.90%,0.20%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,41.10%,20.70%,6.10%,99.50%,74.60%,39.50%
Florida,Collier,5,36.10%,14.30%,8.20%,9.10%,3.30%,1.80%,29.10%,9.00%,2.90%,>99.9%,98.80%,90.90%,93.10%,59.80%,39.60%,>99.9%,92.70%,55.40%
Florida,Dixie,4,47.10%,24.10%,2.90%,6.50%,2.80%,0.30%,36.50%,11.30%,2.90%,>99.9%,>99.9%,54.80%,84.20%,54.60%,7.90%,>99.9%,96.50%,55.40%
Florida,Duval,7,30.40%,14.70%,4.30%,2.00%,0.90%,0.20%,17.00%,4.80%,1.80%,>99.9%,98.90%,69.70%,42.40%,21.50%,6.40%,99.50%,74.60%,39.50%
